ID,INDICADOR,Fonte,"DESCRIÇÃO IBGE","Cod.API IBGE","Cod. IBGE","Cod. API IBGE2","Nivel Territorial","Nivel Territorial_Descrição",Variavel,Tabela,Link
17.14,"IPP - Fabricação de produtos têxteis - BR",IBGE,"13 FABRICAÇÃO DE PRODUTOS TÊXTEIS",46.620,13,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
40.773,"IPP - Metalurgia - BR",IBGE/IPP,"24 METALURGIA",46.641,24,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.754,"IPP - Fabricação de produtos alimentícios - BR",IBGE/IPP,"10 FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS",46.611,10,9869876,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.755,"IPP - Fabricação de bebidas - BR",IBGE/IPP,"11 FABRICAÇÃO DE BEBIDAS",46.618,11,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.757,"IPP - Confecção de artigos do vestuário e acessórios - BR",IBGE/IPP,"14 CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS",46.621,14,,,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.758,"IPP - Preparação e fabricação de artefatos couros - BR",IBGE/IPP,"15 PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO; ARTIGOS PARA VIAGEM E CALÇADOS",46.622,15,,1,Brasil(1),10008,6.9037896,https://sidra.ibge.gov.br/tabela/6903
48.761,"IPP - Impressão e reprodução de gravações - BR",IBGE/IPP,"18 IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES",46.627,,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.762,"IPP - Coque; produtos derivados do petróleo e de biocombustíveis - BR",IBGE/IPP,"19 FABRICAÇÃO DE COQUE; DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS",46.628,19,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.751,"IPP - Indústria da transformação - BR",IBGE/IPP,"C Indústrias de Transformação",46.610,C,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.756,"IPP - Fabricação de produtos do fumo - BR",IBGE/IPP,"12 FABRICAÇÃO DE PRODUTOS DO FUMO",46.619,12,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.763,"IPP - Sabões; detergentes; produtos de limpeza; cosméticos; perfumaria higiene - BR",IBGE/IPP,"20B FABRICAÇÃO DE SABÕES; DETERGENTES; PRODUTOS DE LIMPEZA; COSMÉTICOS; PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",46.633,20B,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.767,"IPP - Produtos de minerais não-metálicos - BR",IBGE/IPP,"23 FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS",46.638,23,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.772,"IPP - Fabricação e montagem de veículos automotores; reboques e carrocerias - BR",IBGE/IPP,"29 FABRICAÇÃO DE VEÍCULOS AUTOMOTORES; REBOQUES E CARROCERIAS",46.653,29,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.779,"IPP - Outros equipamentos de transporte; exceto veículos automotores - BR",IBGE/IPP,"30 FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE; EXCETO VEÍCULOS AUTOMOTORES",46.655,30,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.766,"IPP - Fabricação de produtos de borracha e de material plástico - BR",IBGE/IPP,"22 FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO",46.635,22,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.769,"IPP - Equipamentos de informática; produtos eletrônicos e ópticos - BR",IBGE/IPP,"26 FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA; PRODUTOS ELETRÔNICOS E ÓPTICOS",46.644,26,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.774,"IPP - Fabricação de móveis - BR",IBGE/IPP,"31 FABRICAÇÃO DE MÓVEIS",46.656,31,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.759,"IPP - Fabricação de produtos de madeira - BR",IBGE/IPP,"16 FABRICAÇÃO DE PRODUTOS DE MADEIRA",46.625,16,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.760,"IPP - Fabricação de celulose; papel e produtos de papel - BR",IBGE/IPP,"17 FABRICAÇÃO DE CELULOSE; PAPEL E PRODUTOS DE PAPEL",46.626,17,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
48.764,"IPP - Fabricação de outros produtos químicos - BR",IBGE/IPP,"20C FABRICAÇÃO DE OUTROS PRODUTOS QUÍMICOS",46.629,20C,,1,Brasil(1),10008,6.903,https://sidra.ibge.gov.br/tabela/6903
